,statement,source,year,veracity
131_20,"The government will ""go out and buy my breast pump for my babies.""",Michele Bachmann,"stated on February 15, 2011 in an interview on ""The Laura Ingraham Show"":",false
131_21,"The federal government ""can cut all of the non-military discretionary spending and not balance the budget.""",Rand Paul,"stated on February 14, 2011 in an interview on Fox Business News:",true
131_22,"""Within a few years, we will be spending more on interest payments than on national security.""",Mitch Daniels,"stated on February 11, 2011 in a speech to the Conservative Political Action Conference:",false
131_23,The White House budget plan will bring domestic discretionary spending to its lowest share of our economy since Dwight Eisenhower was president.,Barack Obama,"stated on February 14, 2011 in a speech:",half-true
131_24,"The Obama administration ""actually cut out the democracy in Egypt funds inside the State Department.""",Newt Gingrich,"stated on February 13, 2011 in an interview on ABC's ""This Week with Christiane Amanpour"":",half-true
131_25,"""Across the board, violent crime in jurisdictions that recognize the Right to Carry is lower than in areas that prevent it.""",National Rifle Association,"stated on February 10, 2011 in a speech by Wayne LaPierre at the Conservative Political Action Conference:",false
131_26,"""Over the last two years since President Obama has taken office, the federal government has added 200,000 new federal jobs.""",John Boehner,"stated on February 15, 2011 in a press conference:",false
131_27,"Under the White House’s budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",Barack Obama,"stated on February 15, 2011 in a press conference:",false
131_28,"The Muslim Brotherhood has ""openly stated they want to declare war on Israel.""",Glenn Beck,"stated on February 4, 2011 in a comment on his television show:",false
131_29,"""The people that went to school with (Barack Obama), they never saw him, they don't know who he is.""",Donald Trump,"stated on February 10, 2011 in a speech at the CPAC conference:",pants-fire
132_0,"Since Sept. 11, 2001, ""270,000 Americans were killed by gunfire at home.""",Doonesbury,"stated on February 13, 2011 in a comic strip:",mostly-true
132_1,Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.,Cenk Uygur,"stated on February 9, 2011 in MSNBC Live:",true
132_2,"""In the month of January, Canada created more new jobs than we did.""",Mitt Romney,"stated on February 11, 2011 in a speech to the Conservative Political Action Conference:",true
132_3,"""Today there are more men and women out of work in America than there are people working in Canada.""",Mitt Romney,"stated on February 11, 2011 in a speech to the Conservative Political Action Conference:",false
132_4,"""If you shut down Amtrak's Northeast Corridor, it's estimated you'd have to add seven new lanes to I-95 to accommodate the increased traffic.""",Joe Biden,"stated on February 8, 2011 in a speech in Philadelphia:",barely-true
132_5,"""Today, American companies have nearly $2 trillion sitting on their balance sheets.""",Barack Obama,"stated on February 7, 2011 in a speech to the Chamber of Commerce:",mostly-true
132_6,"Fox News ""said the New Black Panther Party decided the election for Barack Obama.""",Rachel Maddow,"stated on December 15, 2010 in an interview on CBS' Late Show with David Letterman:",false
132_7,"Foreign Trade Zones allow U.S. ""land to be inhabited by Chinese communists -- communists straight from China! They are to set up little towns and live here.""",Chain email,"stated on February 7, 2011 in a chain e-mail:",pants-fire
132_8,"The majority of people in polls do ""not support Obamacare.""",Bill O'Reilly,"stated on February 6, 2011 in an interview with President Obama:",half-true
132_9,Tells President Barack Obama that he also asked former President George W. Bush about how he felt about Americans hating him.,Bill O'Reilly,"stated on February 6, 2011 in an interview with President Barack Obama:",true
132_10,"Twelve judges have thrown out legal challenges to the health care law because they rejected ""the notion that the health care law was unconstitutional.""",Barack Obama,"stated on February 6, 2011 in an interview on Fox:",false
132_11,"""Some politicians … want to put new taxes on a lot of groceries.""",Americans Against Food Taxes,"stated on February 6, 2011 in a television commercial:",true
132_12,"""I lowered taxes over the last two years.""",Barack Obama,"stated on February 6, 2011 in an interview on Super Bowl Sunday:",mostly-true
132_13,"""I didn't raise taxes once.""",Barack Obama,"stated on February 6, 2011 in an interview on Super Bowl Sunday:",false
132_14,"Many of the 9/11 conspirators came from the Muslim Brotherhood, including Osama bin Laden, Ayman Zawahiri and Khalid Sheikh Mohammed.",Glenn Beck,"stated on January 31, 2011 in his radio program:",half-true
132_15,"Israel's per capita income ""is greater than probably three-fourths of the rest of the world.""",Rand Paul,"stated on February 4, 2011 in an interview with ABC News:",true
132_16,"Under Hosni Mubarak's rule, ""Egypt received more American dollars than any country besides Israel.""",Ross Douthat,"stated on January 30, 2011 in a newspaper column:",true
132_17,"Nevada will be ""energy independent within the immediate future.""",Harry Reid,"stated on January 18, 2011 in an interview on ""Face to Face with Jon Ralston"":",false
132_18,"In the 1980s, ""The lowest income people had the biggest gains.""",Steve Moore,"stated on February 2, 2011 in HBO's ""Real Time with Bill Maher"":",false
132_19,"""From 1980 to 1990, the top 1 percent saw their income go up by roughly 80 percent"" while ""the median wage in the country over (the same) 10 years went up 3 percent.""",Rachel Maddow,"stated on January 21, 2011 in HBO's ""Real Time with Bill Maher"":",mostly-true
132_20,"""Despite claims that you can 'keep the health care plan you like,' the Obama Administration has predicted that as many as 7 out of 10 Americans with employer-provided health coverage could lose their current health plan.""",Blake Farenthold,"stated on January 23, 2011 in an op-ed:",false
132_21,"In the past 20 years, Egypt has made ""great strides"" in political and democratic reform.",Sameh Shoukry,"stated on January 30, 2011 in an interview on ABC's ""This Week with Christiane Amanpour."":",false
132_22,"""Veterans can now download their electronic medical records with a click of the mouse.""",Barack Obama,"stated on January 25, 2011 in his State of the Union address:",barely-true
132_23,Says government is a barrier to innovation and development.,Paul Broun,"stated on January 25, 2011 in a tweet during the State of the Union address:",false
132_24,"Says President Barack Obama revealed in his State of the Union address that he ""now is against earmarks.""",Rand Paul,"stated on January 27, 2011 in a Senate Tea Party Caucus meeting:",mostly-true
132_25,"""We're borrowing 40 cents of every dollar we spend.""",Kent Conrad,"stated on January 23, 2011 in an interview on ""This Week with Christiane Amanpour."":",true
132_26,"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget.""",Kent Conrad,"stated on January 23, 2011 in ""This Week with Christiane Amanpour"":",mostly-true
132_27,"The health care law ""is accelerating our country toward bankruptcy.""",Paul Ryan,"stated on January 25, 2011 in the GOP response to the State of the Union:",barely-true
132_28,"""While the government grew, we lost more than 2 million jobs.""",Michele Bachmann,"stated on January 25, 2011 in a rebuttal to the State of the Union address:",half-true
132_29,"The federal government ""now tells us which light bulbs to buy.""",Michele Bachmann,"stated on January 25, 2011 in a response to the State of the Union address:",barely-true
133_0,"""The Interior Department is in charge of salmon while they're in fresh water, but the Commerce Department handles them when they're in saltwater.""",Barack Obama,"stated on January 25, 2011 in the State of the Union speech:",mostly-true
133_1,"The federal government ""may put 16,500 IRS agents in charge of policing President Obama's health care bill.""",Michele Bachmann,"stated on January 25, 2011 in a rebuttal to the State of the Union address:",half-true
133_2,"""The White House promised us that all the spending would keep unemployment under 8 percent.""",Michele Bachmann,"stated on January 25, 2011 in a response to the State of the Union:",barely-true
133_3,"""The debt will soon eclipse our entire economy.""",Paul Ryan,"stated on January 25, 2011 in a response to the State of the Union address:",true
133_4,"The United States has ""one of the highest corporate tax rates in the world.""",Barack Obama,"stated on January 25, 2011 in the State of the Union address:",true
133_5,"""We are living with a legacy of deficit-spending that began almost a decade ago.""",Barack Obama,"stated on January 25, 2011 in the State of the Union address:",half-true
133_6,"""As many as a quarter of our students aren’t even finishing high school.""",Barack Obama,"stated on January 25, 2011 in the State of the Union address:",mostly-true
133_7,"""Two years after the worst recession most of us have ever known ... corporate profits are up.""",Barack Obama,"stated on January 25, 2011 in the State of the Union address:",true
133_8,"Poll results from the past 35 years show that State of the Union speeches ""do not move"" presidential approval numbers.",Matthew Dowd,"stated on January 23, 2011 in an interview on ABC's ""This Week with Christiane Amanpour"":",mostly-true
133_9,The health care law includes tort reform.,Anthony Weiner,"stated on January 19, 2011 in a speech on the House floor:",false
133_10,"The financial regulatory bill ""will kill jobs.""",Mike Pence,"stated on July 15, 2010 in a press release:",barely-true
133_11,"The health care law is ""job killing.""",Eric Cantor,"stated on January 19, 2011 in a bill introduced on the House floor.:",false
133_12,"Between 2000 and 2006,  ""health insurance company profits quadrupled.""",Chris Van Hollen,"stated on January 18, 2011 in comments on the House floor:",mostly-true
133_13,"""Between the year 2000 and 2006, (insurance) premiums in this country doubled.""",Chris Van Hollen,"stated on January 18, 2011 in comments on the House floor:",mostly-true
133_14,"""The refusal of many federal employees to fly coach costs taxpayers $146 million annually.""",Newsmax,"stated on January 14, 2011 in an e-mail solicitation:",mostly-true
133_15,"The White House ""branded"" the memorial service for the Tucson shootings with a ""Together We Thrive"" logo and slogan.",Michelle  Malkin,"stated on January 12, 2011 in a blog post:",false
133_16,"""When we look at the number of murders in the United States (in) 2009, we had 9,500 people murdered. When we look around the world, we see ... large countries, the U.K., Germany, Japan had 200 or less killed in a year.""",Frank Lautenberg,"stated on January 11, 2011 in an interview on MSNBC:",mostly-true
133_17,Says she condemned violence at a campaign stop in Arizona in March.,Sarah Palin,"stated on January 12, 2011 in a video statement on Facebook:",true
133_18,Members of Congress and their families and staff are exempt from repaying student loans.,Chain email,"stated on January 7, 2011 in a chain e-mail:",pants-fire
133_19,"""Saturday's shootings reflect a disturbing trend. Mass shootings have become commonplace since the Virginia Tech massacre in 2007. There have been dozens of incidents where three or more people have been fatally wounded. Hundreds have died.""",Pierre Thomas,"stated on January 9, 2011 in a report on ABC News' ""This Week with Christiane Amanpour"":",half-true
133_20,"In preparing a rules package for the 112th Congress, the GOP had no discussions with Democrats.",Steny Hoyer,"stated on January 4, 2011 in a news release:",false
133_21,"""The Democratic majority led the 111th Congress to spend more money in two years than the first 100 congresses before them combined.""",Kevin McCarthy,"stated on January 2, 2011 in a statement published in the ""Bakersfield Californian"":",false
133_22,"""We can save $125 billion in simply not giving out money to Medicare recipients that don't exist for procedures that didn't happen.""",Darrell Issa,"stated on January 2, 2011 in CBS's ""Face the Nation"":",false
133_23,"""We have the highest (corporate tax rates) in the world right now.""",Pat Toomey,"stated on January 2, 2011 in an interview on NBC's ""Meet the Press"":",mostly-true
133_24,"""CEOs now earn 431 times what their workers earn.""",Bumper Sticker,"stated on December 20, 2010 in Washington, D.C.:",half-true
133_25,"""Since January 2008 the private sector has lost nearly 8 million jobs while local, state and federal governments added 590,000.""",Tim Pawlenty,"stated on December 13, 2010 in an op-ed in the ""Wall Street Journal"":",pants-fire
133_26,"""When Social Security was passed, there were all kinds of lawsuits,"" just as there have been in the legal battle over the new health care law.",Barack Obama,"stated on December 13, 2010 in a television interview:",true
133_27,"""One in 19 Americans today get SSDI or SSI. That's one in 19 Americans (who) are disabled.""",Tom Coburn,"stated on December 1, 2010 in a meeting of the Simpson-Bowles deficit commission:",mostly-true
133_28,"Under the compromise tax agreement, ""99.7% of American families will not pay 1 nickel in an estate tax.""",Bernie Sanders,"stated on December 13, 2010 in a Twitter message:",true
133_29,"The Obama-GOP compromise ""raises taxes, it raises the death tax.""",Jim DeMint,"stated on December 7, 2010 in a radio interview:",barely-true
134_0,"""Barack Obama is in an economy that's only worsened since he's been president of the United States.""",Matthew Dowd,"stated on December 12, 2010 in an interview on ABC's ""This Week with Christiane Amanpour"":",half-true
134_1,"""Last year, ExxonMobil made $19 billion in profit. Guess what. They paid zero in taxes. They got a $156 million refund from the IRS.""",Bernie Sanders,"stated on November 30, 2010 in a Senate floor speech:",false
134_2,"In 2007, ""the top 1 percent of all income earners in the United States made 23.5 percent of all income,"" which is ""more than the entire bottom 50 percent.""",Bernie Sanders,"stated on November 30, 2010 in a Senate floor speech:",true
134_3,"There are ""10 or 20 deaths a year from foodborne illness"" in the United States.",Tom Coburn,"stated on November 18, 2010 in a Senate floor speech:",false
134_4,"When President Franklin D. Roosevelt started Social Security, ""it only affected widows and orphans,"" and when Medicare began, ""it was a small program.""",Barack Obama,"stated on December 7, 2010 in a press conference:",false
134_5,"""There are polls showing right now that the American people for the most part think it's a bad idea to provide tax cuts to the wealthy.""",Barack Obama,"stated on December 7, 2010 in a press conference:",mostly-true
134_6,"""The senior senator from Arizona (John McCain) said he couldn't support repealing 'don't ask, don't tell' because of the economy.""",Harry Reid,"stated on December 4, 2010 in the Senate floor:",half-true
134_7,"The Pentagon's survey about the ""Don't Ask, Don't Tell"" policy found that 92 percent of service members ""agree that they could serve ... in a unit in combat"" without compromising ""mission readiness.""",Wesley Clark,"stated on December 5, 2010 in an interview on ABC's ""This Week with Christiane Amanpour"":",half-true
134_8,"The DREAM Act the ""would give amnesty to over two million illegal aliens.""",RightMarch.com,"stated on December 1, 2010 in a chain e-mail:",false
134_9,"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.",National Association of Manufacturers,"stated on December 2, 2010 in a statement:",half-true
134_10,"""I have won more elections than any chairman since 1938.""",Michael Steele,"stated on November 8, 2010 in an interview on NPR:",half-true
134_11,"""The American people spoke pretty loudly. They said stop all the looming tax hikes....""",John Boehner,"stated on December 1, 2010 in comments to reporters:",false
134_12,"""Pls refer to Jan.1 tax changes appropriately: they're OBAMA TAX HIKES & they'll slam every American's savings, investments & job opportunity""",Sarah Palin,"stated on December 1, 2010 in a Twitter message:",false
134_13,New food safety legislation will regulate backyard gardening.,Bloggers,"stated on November 29, 2010 in postings to the Internet:",pants-fire
134_14,"""Historically,"" Senate ratification of arms control treaties ""has been bipartisan.""",Mike Mullen,"stated on November 21, 2010 in an interview on ABC's ""This Week with Christiane Amanpour"":",true
134_15,"Obama's position on nuclear arms is a ""march toward global zero.""",Jon Kyl,"stated on November 28, 2010 in an interview on NBC's ""Meet the Press"":",mostly-true
134_16,"Said the Washington Post argued that a failure to pass the START treaty this year would be ""no calamity,"" and that the Associated Press said ""the administration concedes the security risk is not immediate.""",Jon Kyl,"stated on November 28, 2010 in an interview on ""NBC's Meet the Press"":",half-true
134_17,"""Eliminating earmarks does not reduce spending.""",Richard Lugar,"stated on November 16, 2010 in a prepared statement:",mostly-true
134_18,"The radiation coming from the new TSA body scanners is ""equivalent to about three minutes' worth of air travel by anybody, say, at 30,000 feet.""",John Pistole,"stated on November 16, 2010 in an interview with CNN's Anderson Cooper.:",true
134_19,"Small businesses that have ""$250,000 in gross sales for the business. They're the ones that are looking at massive tax increases.""",Michele Bachmann,"stated on November 16, 2010 in an interview on ""Good Morning America."":",pants-fire
134_20,"A proposal to reduce the deficit ""involved large tax cuts for the top bracket.""",Paul Krugman,"stated on November 14, 2010 in ""This Week with Christiane Amanpour"":",half-true
134_21,"A recent report from the president's deficit commission was ""completely empty"" on controlling health care costs.",Paul Krugman,"stated on November 14, 2010 in ""This Week with Christiane Amanpour"":",false
134_22,"Federal spending is ""the highest it's been as a share of our economy in 60 years (and) revenue is the lowest it's been as a share of our economy in 60 years.""",Kent Conrad,"stated on November 14, 2010 in an interview on ABC's ""This Week with Christiane Amanpour"":",true
134_23,"""We now consume at the federal level 25 percent of the gross domestic product. Historically we were at 20 percent. So we've taken 5 percent away from the private sector.""",Rand Paul,"stated on November 14, 2010 in an interview on CBS' ""Face the Nation"":",true
134_24,"""My debt to GDP was the lowest or one of the lowest of modern presidents. My taxes to GDP was the lowest and my spending to GDP"" was too.",George W. Bush,"stated on November 8, 2010 in an interview on NBC's ""Today Show"":",mostly-true
134_25,"""The average federal employee makes $120,000 a year. The average private employee makes $60,000 a year.""",Rand Paul,"stated on November 7, 2010 in an interview on ABC's This Week with Christiane Amanpour:",false
134_26,"Grocery prices ""have risen significantly over the past year or so.""",Sarah Palin,"stated on November 7, 2010 in a prepared speech:",barely-true
134_27,"""One of the interesting things about the Recovery Act was most of the projects came in under budget, faster than expected, because there's just not a lot of work there.""",Barack Obama,"stated on November 7, 2010 in a ""60 Minutes"" interview:",half-true
134_28,"""Anybody who is familiar with the historical data from the IRS knows that raising income tax rates will likely actually reduce federal revenues.""",Mike Pence,"stated on November 7, 2010 in an interview on ""This Week with Christiane Amanpour."":",false
134_29,"""The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget.""",Rand Paul,"stated on November 7, 2010 in an interview on ABC's ""This Week with Christiane Amanpour"":",mostly-true
135_0,"When Obama took office ""the economy of the United States was actually shrinking for the first time in about 70 years.""",Tim Kaine,"stated on October 24, 2010 in an interview on ""This Week."":",barely-true
135_1,"""The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.""",Michele Bachmann,"stated on November 3, 2010 in a CNN interview:",false
135_2,"""Congresswoman Kathy Castor voted to spend $2.6 million to teach prostitutes in China to drink responsibly.""",Mike Prendergast,"stated on October 29, 2010 in a campaign mailer:",pants-fire
135_3,"Says John Raese said he wants ""1,000 laser systems put in the sky, and we need it right now.""",Joe Manchin,"stated on October 21, 2010 in a campaign Web ad:",half-true
135_4,"Members of Congress did not have three days to read the bill ""when the stimulus was rushed into law.""",John Boehner,"stated on October 30, 2010 in a Saturday address:",true
135_5,"""The Republican leader of the Senate said his main goal after this election is simply to win the next one.""",Barack Obama,"stated on October 30, 2010 in his weekly address:",half-true
135_6,"""North Dakota's economy is reeling.""",Crossroads GPS,"stated on October 25, 2010 in a campaign commerical:",pants-fire
135_7,"Sen. Harry Reid voted ""against declaring English our national language, twice.""",Sharron Angle,"stated on October 25, 2010 in a TV ad:",true
135_8,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,National Republican Congressional Committee,"stated on October 23, 2010 in a campaign commerical:",barely-true
135_9,"""We have empowered state insurance commissioners to review the rate hikes that are taking place in states. And in some states like North Carolina, they have already used it and rolled back premium increases by 25 percent.""",Barack Obama,"stated on October 27, 2010 in an interview on Comedy Central's ""Daily Show with Jon Stewart"":",mostly-true
135_10,"""Before we even passed health care, 4 millions kids got health insurance that didn't have it before, through the Children's Health Insurance Program.""",Barack Obama,"stated on October 27, 2010 in an interview on ""The Daily Show."":",half-true
135_11,"Stabilizing the recent financial crisis ""will cost less than 1 percent of GDP,"" which is less than the 2.5 percent to fix the savings and loan crisis of the 1980s.",Barack Obama,"stated on October 27, 2010 in an interview on Comedy Central's ""Daily Show with Jon Stewart"":",half-true
135_12,"""Most of the jobs that we lost were lost before the economic policies we put in place had any effect.""",Barack Obama,"stated on October 27, 2010 in an interview on ""The Daily Show with Jon Stewart"":",true
135_13,"The health care bill ""cuts the deficit by over $1 trillion dollars.""",Barack Obama,"stated on October 27, 2010 in an appearance on Comedy Central's ""The Daily Show"":",half-true
135_14,"As CEO of WWE, Linda McMahon ""was caught tipping off a ringside physician"" about a federal investigation into illegally distributing steroids to wrestlers.",Democratic Senatorial Campaign Committee,"stated on October 21, 2010 in a TV ad:",true
135_15,"Dan Seals has been running for office ""since before there were, like, iPods.""",Robert  Dold,"stated on October 26, 2010 in a campaign commercial:",false
135_16,"Ed Perlmutter voted for ""Viagra for rapists"" paid for with tax dollars.",American Action Network,"stated on October 21, 2010 in a campaign ad:",pants-fire
135_17,"""Michael Bennet cast the deciding vote"" for the stimulus and the health care bill.",National Republican Senatorial Committee,"stated on October 6, 2010 in a campaign commercial:",barely-true
135_18,"""When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.""",Michael Steele,"stated on October 24, 2010 in an interview on NBC's ""Meet the Press"":",false
135_19,"""More private-sector jobs were created in the first eight months of 2010 than in the eight years of the Bush administration.""",Nancy Pelosi,"stated on October 21, 2010 in an interview on MSNBC's ""Countdown with Keith Olbermann"":",half-true
135_20,"The new health care law will ""force seniors into Barack Obama's government-run health care program.""",Dan Coats,"stated on October 14, 2010 in a campaign ad:",pants-fire
135_21,"""Fiorina's plan would mean slashing Social Security and Medicare.""",Barbara  Boxer,"stated on October 15, 2010 in a campaign ad:",barely-true
135_22,"Jerry Brown ""gave California state employees collective bargaining powers"" and ""now, state employees can retire at 55 with much of their salary for life.""",Meg Whitman,"stated on October 15, 2010 in a TV ad:",half-true
135_23,"""You worked hard for your money and you paid your taxes when you earned it. Now, (Indiana Republican congressional candidate) Todd Young wants to tax it again when you spend it.""",SEIU,"stated on October 20, 2010 in a campaign commercial:",half-true
135_24,"""Carly Fiorina, she's against banning assault weapons.""",Barbara  Boxer,"stated on October 15, 2010 in a campaign ad:",mostly-true
135_25,"Pat Toomey ""still supports privatizing Social Security.""",Joe  Sestak,"stated on October 11, 2010 in a campaign commercial:",half-true
135_26,"The Seattle Times called Patty Murray ""a 'prolific sponsor of earmarks.' Patty even defended the 'Bridge to Nowhere.' """,Dino Rossi,"stated on October 12, 2010 in a campaign ad:",mostly-true
135_27,"As state treasurer, Alexi Giannoulias ""lost $73 million in our kids’ college savings.""",Mark Kirk,"stated on October 18, 2010 in a TV ad:",half-true
135_28,"Under the new health care law, ""the first person (a) patient has to go to is a bureaucrat. That is called a panel.""",John Raese,"stated on October 18, 2010 in a debate:",pants-fire
135_29,"""Mark Kirk: Lied about going to war. Opposed middle class tax cuts. And said unemployment’s not that big an issue.""",Alexi Giannoulias,"stated on October 15, 2010 in a TV ad:",barely-true
136_0,"Rand Paul wants ""to end all federal faith-based initiatives, and even end the deduction for religious charities.""",Jack Conway,"stated on October 15, 2010 in a campaign commercial:",mostly-true
136_1,"Ken Buck wants to ""outlaw abortion, even in cases of rape or incest.""",Michael Bennet,"stated on October 15, 2010 in a campaign ad:",true
136_2,"The new health care law crushes small businesses ""with billions in penalties.""",U.S. Chamber of Commerce,"stated on October 5, 2010 in a campaign ad:",false
136_3,"""We haven't yet taken out a negative ad.""",Christine O'Donnell,"stated on October 14, 2010 in a debate:",pants-fire
136_4,"""John Boozman is excited about putting a 23 percent national sales tax on everything you buy.""",Blanche Lincoln,"stated on September 20, 2010 in a TV ad:",half-true
136_5,"""Sharron Angle voted to protect sex offenders.""",Harry Reid,"stated on October 7, 2010 in a campaign commercial:",mostly-true
136_6,"Chris Coons has ""Marxist beliefs.""",Christine O'Donnell,"stated on October 13, 2010 in a debate:",pants-fire
136_7,New Castle County's unemployment rate has not almost doubled in the last two years.,Chris  Coons,"stated on October 13, 2010 in a televised debate, disputing a claim by Republican Christine O'Donnell:",true
136_8,"John Raese's wife ""is registered to vote in Florida so she can't even vote for him.""",Joe Manchin,"stated on October 8, 2010 in a campaign ad:",true
136_9,"""One man (New Castle, Del., County Executive, Chris Coons) thought property taxes should be hiked almost 50 percent.""",Christine O'Donnell,"stated on October 11, 2010 in a campaign video:",mostly-true
136_10,"Delaware Democratic Senate candidate Chris Coons ""thought that a 911 call should be taxed.""",Christine O'Donnell,"stated on October 11, 2010 in a campaign commercial:",barely-true
136_11,"Says Illinois gubernatorial candidate Bill Brady's first priority after winning the primary ""was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.""",Pat Quinn,"stated on September 30, 2010 in a campaign commercial:",half-true
136_12,"Just like the U.S. Chamber of Commerce, ""the AFL-CIO receives dues from foreign entities associated with it.""",George Will,"stated on October 10, 2010 in ABC's ""This Week"":",half-true
136_13,"""Groups that receive foreign money are spending huge sums to influence American elections.""",Barack Obama,"stated on October 7, 2010 in a speech:",half-true
136_14,"Harry Reid ""voted to use taxpayer dollars to pay for Viagra for convicted child molesters and sex offenders.""",Sharron Angle,"stated on October 7, 2010 in a campaign commercial:",barely-true
136_15,"Rand Paul ""wants us to pay $2,000 just to get Medicare.""",Jack Conway,"stated on September 28, 2010 in a campaign commercial:",mostly-true
136_16,"Sen. Barbara Boxer ""voted against immigration reform to permit (Hispanic immigrants) people to come here legally to work.""",Susan B. Anthony List,"stated on September 30, 2010 in a TV ad:",false
136_17,"""Since Debbie Halvorson has been in politics, Illinois has lost hundreds of thousands of jobs.""",Adam Kinzinger,"stated on September 21, 2010 in a campaign commercial:",half-true
136_18,"Arkansas Democratic congressional candidate Chad Causey ""was a Washington, D.C. bureaucrat.""",National Republican Congressional Committee,"stated on October 3, 2010 in a campaign commercial:",false
136_19,"In most Muslim countries, ""We can't have a church. We're not able to build synagogues. It's forbidden.""",Franklin Graham,"stated on October 3, 2010 in ABC's ""This Week"":",false
136_20,"Says Roy Blunt ""secretly inserts language to benefit tobacco giant Philip Morris"" into a national security bill while ""Blunt's girlfriend and son are lobbyists for the cigarette company, and just days earlier, 26 Philip Morris executives wrote checks to Blunt totaling $23,000.""",Commonsense Ten,"stated on September 15, 2010 in a TV ad:",mostly-true
136_21,"""Barbara Boxer voted to cut spending on Medicare benefits by $500 billion, cuts so costly to hospitals and nursing homes that they could stop taking Medicare altogether.""",Crossroads GPS,"stated on August 25, 2010 in a television ad:",barely-true
136_22,"The Chilean ""privatization scheme"" that Sharron Angle supports ""has resulted in hidden fees, fewer benefits, and millions of people with no coverage.""",Patriot Majority PAC,"stated on August 17, 2010 in a campaign commercial:",barely-true
136_23,"The Republican election platform ""was actually written with the help of a former lobbyist for AIG and a former lobbyist for Exxon-Mobil.""",Barack Obama,"stated on September 28, 2010 in a speech in Madison, Wisc.:",half-true
136_24,"""We now have our kids go to school about a month less than most other advanced countries.""",Barack Obama,"stated on September 27, 2010 in a TV interview:",half-true
136_25,"Rep. Paul Hodes, D-N.H., ""voted for the pork-filled stimulus bill -- $1.9 million to study ants in Africa, $39 million for office upgrades for politicians.""",American Crossroads,"stated on September 20, 2010 in a campaign ad:",barely-true
136_26,"Says Joe Sestak ""voted to gut Medicare ... reducing benefits for 854,489 seniors"" and jeopardizing ""access to care for millions.""",Crossroads GPS,"stated on September 20, 2010 in a campaign commercial:",barely-true
136_27,"Independent groups behind ads attacking Democratic candidates are ""front groups for foreign-controlled companies.""",David Axelrod,"stated on September 26, 2010 in ABC's ""This Week"":",barely-true
136_28,"The GOP's ""Pledge to America"" includes ""a 20 percent cut ... for education. ... Eight million kids would have their college aid slashed under this budget.""",David Axelrod,"stated on September 26, 2010 in an interview on ABC's This Week with Christiane Amanpour:",half-true
136_29,"Says Rand Paul thinks drug-dealing, theft, burglary and prostitution should be decriminalized.",Jack Conway,"stated on September 14, 2010 in a campaign video:",false
137_0,"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and ""we still lost more than 2.5 million jobs.""",Americans for Job Security,"stated on September 23, 2010 in a campaign ad:",half-true
137_1,"Says John Boehner ""admits 'we are not going to be any different than we’ve been' "" by returning to ""the same failed economic policies"" that ""wrecked our economy.""",Nancy Pelosi,"stated on September 23, 2010 in a blog post:",pants-fire
137_2,"Children born today will carry a $30,000 share of the national debt.",Citizens for the Republic,"stated on September 21, 2010 in a campaign commercial:",true
137_3,"""We paid down the debt for four years -- paid down $600 billion on the national debt.""",Bill Clinton,"stated on September 19, 2010 in an interview on NBC's ""Meet the Press"":",half-true
137_4,"It's ""not true"" that since he's been the president, executions in Iran have increased by four times.",Mahmoud Ahmadinejad,"stated on September 19, 2010 in ABC's ""This Week"":",false
137_5,"Sakineh Mohammadi Ashtiani ""was never sentenced to stoning.""",Mahmoud Ahmadinejad,"stated on September 19, 2010 in ABC's ""This Week"":",false
137_6,"The Bush administration had been ""giving (auto companies) billions of dollars and just asking nothing in return.""",Barack Obama,"stated on September 20, 2010 in a town hall meeting:",false
137_7,"""Our tax rates are lower now than they were under Ronald Reagan. They're much lower than they were under Dwight Eisenhower.""",Barack Obama,"stated on September 20, 2010 in a televised town hall:",mostly-true
137_8,"""There's a big chunk of the country that thinks that I have been too soft on Wall Street.""",Barack Obama,"stated on September 20, 2010 in a town hall meeting:",true
137_9,"""Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that she's flying.""",Michele Bachmann,"stated on September 17, 2010 in a speech to the Values Voter Summit:",pants-fire
137_10,"The new health care law ""will cut $500 billion from Medicare. That will hurt the quality of our care.""",60 Plus Association,"stated on September 8, 2010 in a campaign ad:",barely-true
137_11,"""Do you know that we have pipes carrying natural gas in this country that are made of wood? I'm not joking.""",Bill Maher,"stated on September 14, 2010 in an interview on CNN's ""Larry King Live"":",false
137_12,"""As the CEO of HP, Carly Fiorina laid off 30,000 workers.""",Barbara  Boxer,"stated on September 15, 2010 in a political ad:",mostly-true
137_13,"Harry Reid has voted ""to give special tax breaks to illegal aliens.""",Sharron Angle,"stated on September 14, 2010 in a campaign commerical:",false
